district_name,longitude_top_left,longitude_bottom_right,latitude_top_left,latitude_bottom_right
敖汉旗,119.4927978515625,120.8935546875,43.03677585761058,41.69342421615132
江孜县,89.1265869140625,90.230712890625,29.23847708592805,28.4735201051409
昭觉县,102.447509765625,103.3319091796875,28.352733760237804,27.751607687549367
石台县,117.2021484375,117.9437255859375,30.37287518811803,29.97872859346992
涿鹿县,114.9224853515625,115.5157470703125,40.49709237269567,39.66914219401813
昆山市,120.8001708984375,121.1627197265625,31.545771394936267,31.09998179374943
喜德县,102.183837890625,102.72216796875,28.521796040000677,27.91191261511189
平湖市,120.9429931640625,121.343994140625,30.864510226258353,30.472348632640827
疏附县,75.289306640625,76.00341796875,39.686053432259875,38.95513722542956
融安县,109.215087890625,109.786376953125,25.582085278700706,24.74683129841204
巫溪县,108.687744140625,109.984130859375,31.737511125687814,31.22689446881399
太湖县,115.751953125,116.5045166015625,30.765439128105534,30.12137308782304
美姑县,102.864990234375,103.33740234375,28.835049972635165,28.02350004888303
于田县,81.1175537109375,82.7984619140625,39.4913243003771,35.232159412017154
汪清县,129.0838623046875,130.9075927734375,44.05601169578526,43.1090040242731
丹凤县,110.1324462890625,110.819091796875,33.957030069982295,33.35806161277886
石渠县,97.3388671875,99.2724609375,34.21634468843463,32.31963355203522
